campaign_id,client_id,number_contacts,contact_duration,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
0,0,1,261,999,0,False,False,2022-05-13
1,1,1,149,999,0,False,False,2022-05-19
2,2,1,226,999,0,False,False,2022-05-23
3,3,1,151,999,0,False,False,2022-05-27
4,4,1,307,999,0,False,False,2022-05-03
5,5,1,198,999,0,False,False,2022-05-05
6,6,1,139,999,0,False,False,2022-05-03
7,7,1,217,999,0,False,False,2022-05-12
8,8,1,380,999,0,False,False,2022-05-21
9,9,1,50,999,0,False,False,2022-05-05
10,10,1,55,999,0,False,False,2022-05-08
11,11,1,222,999,0,False,False,2022-05-09
12,12,1,137,999,0,False,False,2022-05-29
13,13,1,293,999,0,False,False,2022-05-14
14,14,1,146,999,0,False,False,2022-05-29
15,15,1,174,999,0,False,False,2022-05-29
16,16,1,312,999,0,False,False,2022-05-01
17,17,1,440,999,0,False,False,2022-05-09
18,18,1,353,999,0,False,False,2022-05-06
19,19,1,195,999,0,False,False,2022-05-02
20,20,1,38,999,0,False,False,2022-05-02
21,21,1,262,999,0,False,False,2022-05-16
22,22,1,342,999,0,False,False,2022-05-20
23,23,1,181,999,0,False,False,2022-05-10
24,24,1,172,999,0,False,False,2022-05-02
25,25,1,99,999,0,False,False,2022-05-28
26,26,1,93,999,0,False,False,2022-05-30
27,27,1,233,999,0,False,False,2022-05-16
28,28,2,255,999,0,False,False,2022-05-01
29,29,1,362,999,0,False,False,2022-05-22
30,30,1,348,999,0,False,False,2022-05-22
31,31,1,386,999,0,False,False,2022-05-27
32,32,1,73,999,0,False,False,2022-05-25
33,33,1,230,999,0,False,False,2022-05-14
34,34,1,208,999,0,False,False,2022-05-25
35,35,1,336,999,0,False,False,2022-05-22
36,36,1,365,999,0,False,False,2022-05-11
37,37,1,1666,999,0,False,False,2022-05-03
38,38,1,577,999,0,False,False,2022-05-02
39,39,1,137,999,0,False,False,2022-05-20
40,40,1,366,999,0,False,False,2022-05-05
41,41,1,314,999,0,False,False,2022-05-25
42,42,1,160,999,0,False,False,2022-05-22
43,43,1,212,999,0,False,False,2022-05-01
44,44,1,188,999,0,False,False,2022-05-17
45,45,1,22,999,0,False,False,2022-05-28
46,46,1,616,999,0,False,False,2022-05-15
47,47,1,178,999,0,False,False,2022-05-03
48,48,1,355,999,0,False,False,2022-05-26
49,49,2,225,999,0,False,False,2022-05-26
50,50,1,160,999,0,False,False,2022-05-03
51,51,1,266,999,0,False,False,2022-05-09
52,52,1,253,999,0,False,False,2022-05-11
53,53,1,179,999,0,False,False,2022-05-13
54,54,2,269,999,0,False,False,2022-05-12
55,55,1,135,999,0,False,False,2022-05-08
56,56,1,161,999,0,False,False,2022-05-17
57,57,1,787,999,0,False,False,2022-05-08
58,58,1,145,999,0,False,False,2022-05-08
59,59,1,174,999,0,False,False,2022-05-18
60,60,1,449,999,0,False,False,2022-05-03
61,61,1,812,999,0,False,False,2022-05-23
62,62,1,164,999,0,False,False,2022-05-27
63,63,1,366,999,0,False,False,2022-05-29
64,64,1,357,999,0,False,False,2022-05-19
65,65,1,232,999,0,False,False,2022-05-15
66,66,1,91,999,0,False,False,2022-05-16
67,67,1,273,999,0,False,False,2022-05-21
68,68,2,158,999,0,False,False,2022-05-29
69,69,1,177,999,0,False,False,2022-05-04
70,70,1,200,999,0,False,False,2022-05-28
71,71,1,172,999,0,False,False,2022-05-26
72,72,1,176,999,0,False,False,2022-05-18
73,73,1,211,999,0,False,False,2022-05-14
74,74,1,214,999,0,False,False,2022-05-26
75,75,1,1575,999,0,False,True,2022-05-20
76,76,1,349,999,0,False,False,2022-05-16
77,77,2,337,999,0,False,False,2022-05-28
78,78,1,272,999,0,False,False,2022-05-30
79,79,1,208,999,0,False,False,2022-05-21
80,80,1,193,999,0,False,False,2022-05-29
81,81,1,212,999,0,False,False,2022-05-29
