id,age,job,marital,education,credit_default,housing,loan
0,56,housemaid,married,basic_4y,False,False,False
1,57,services,married,high_school,True,False,False
2,37,services,married,high_school,False,True,False
3,40,admin.,married,basic_6y,False,False,False
4,56,services,married,high_school,False,False,True
5,45,services,married,basic_9y,True,False,False
6,59,admin.,married,professional_course,False,False,False
7,41,blue-collar,married,,True,False,False
8,24,technician,single,professional_course,False,True,False
9,25,services,single,high_school,False,True,False
10,41,blue-collar,married,,True,False,False
11,25,services,single,high_school,False,True,False
12,29,blue-collar,single,high_school,False,False,True
13,57,housemaid,divorced,basic_4y,False,True,False
14,35,blue-collar,married,basic_6y,False,True,False
15,54,retired,married,basic_9y,True,True,True
16,35,blue-collar,married,basic_6y,False,True,False
17,46,blue-collar,married,basic_6y,True,True,True
18,50,blue-collar,married,basic_9y,False,True,True
19,39,management,single,basic_9y,True,False,False
20,30,unemployed,married,high_school,False,False,False
21,55,blue-collar,married,basic_4y,True,True,False
22,55,retired,single,high_school,False,True,False
23,41,technician,single,high_school,False,True,False
24,37,admin.,married,high_school,False,True,False
25,35,technician,married,university_degree,False,False,True
26,59,technician,married,,False,True,False
27,39,self-employed,married,basic_9y,True,False,False
28,54,technician,single,university_degree,True,False,False
29,55,unknown,married,university_degree,True,False,False
30,46,admin.,married,,False,False,False
31,59,technician,married,,False,True,False
32,49,blue-collar,married,,False,False,False
33,54,management,married,basic_4y,True,True,False
34,54,blue-collar,divorced,basic_4y,False,False,False
35,55,unknown,married,basic_4y,True,True,False
36,34,services,married,high_school,False,False,False
37,52,technician,married,basic_9y,False,True,False
38,41,admin.,married,university_degree,False,True,False
39,56,technician,married,basic_4y,False,True,False
40,58,management,unknown,university_degree,False,True,False
41,32,entrepreneur,married,high_school,False,True,False
42,38,admin.,single,professional_course,False,False,False
43,57,admin.,married,university_degree,False,False,True
44,44,admin.,married,university_degree,True,True,False
45,42,technician,single,professional_course,True,False,False
46,57,admin.,married,university_degree,False,True,True
47,40,blue-collar,married,basic_9y,False,False,True
48,35,admin.,married,university_degree,False,True,False
49,45,blue-collar,married,basic_9y,False,True,False
50,54,admin.,married,high_school,False,False,False
51,39,housemaid,married,basic_4y,False,False,True
52,60,admin.,married,high_school,False,False,False
53,53,admin.,single,professional_course,False,False,False
54,55,blue-collar,married,basic_4y,True,False,False
55,55,technician,married,professional_course,True,True,False
56,50,management,married,university_degree,True,False,True
57,45,services,married,high_school,True,True,False
58,55,unemployed,married,professional_course,True,True,True
59,25,technician,single,university_degree,False,True,False
60,47,entrepreneur,married,university_degree,True,False,False
61,51,blue-collar,married,basic_9y,False,True,False
62,42,blue-collar,married,basic_6y,True,True,False
63,42,blue-collar,married,basic_6y,True,False,False
64,48,admin.,married,high_school,False,False,False
65,37,admin.,married,university_degree,False,False,False
66,44,blue-collar,single,basic_9y,False,True,False
67,33,admin.,married,,False,True,False
68,56,admin.,married,basic_9y,False,True,False
69,44,blue-collar,single,basic_4y,True,True,True
70,41,management,married,basic_6y,False,False,False
71,44,management,divorced,university_degree,False,True,False
72,47,admin.,married,university_degree,True,True,False
73,57,unknown,married,,True,False,False
74,37,admin.,married,university_degree,True,True,False
75,41,blue-collar,divorced,basic_4y,True,True,False
76,55,technician,married,university_degree,False,False,False
77,33,services,married,high_school,True,True,False
78,55,management,married,,True,True,False
79,42,blue-collar,married,basic_9y,True,False,False
80,50,blue-collar,married,basic_4y,True,True,False
81,51,blue-collar,married,basic_4y,True,False,False
82,38,admin.,married,high_school,True,False,False
83,49,entrepreneur,married,university_degree,True,True,False
84,38,technician,single,university_degree,False,False,True
85,31,admin.,divorced,high_school,False,False,False
86,41,management,married,basic_6y,False,False,False
87,39,admin.,married,university_degree,False,True,True
88,49,technician,married,basic_9y,False,False,False
89,34,admin.,married,high_school,False,True,False
90,35,admin.,married,university_degree,False,True,False
91,57,unknown,married,,True,True,False
92,60,admin.,married,,True,False,True
93,33,unemployed,married,basic_9y,False,False,False
94,42,blue-collar,married,basic_6y,False,False,True
95,45,services,married,professional_course,False,True,False
96,42,management,married,university_degree,False,False,False
97,53,admin.,divorced,university_degree,True,False,False
98,37,technician,single,professional_course,False,False,False
99,44,blue-collar,married,basic_6y,False,False,False
100,54,services,married,,False,True,False
101,49,blue-collar,married,basic_4y,False,False,False
102,54,services,married,,False,False,False
103,52,admin.,divorced,university_degree,False,False,False
104,52,admin.,divorced,university_degree,False,False,False
105,43,services,single,high_school,True,False,False
106,34,housemaid,married,basic_6y,False,True,False
107,35,admin.,married,high_school,False,True,False
108,42,entrepreneur,married,,True,True,False
109,43,technician,married,,True,True,True
110,60,retired,divorced,university_degree,True,False,False
111,58,unemployed,married,basic_4y,True,False,False
112,35,services,divorced,high_school,False,True,False
113,55,blue-collar,married,basic_9y,True,True,False
114,37,management,married,university_degree,False,False,False
115,36,blue-collar,married,high_school,False,False,False
116,52,admin.,divorced,university_degree,False,False,False
117,57,blue-collar,divorced,,True,True,False
118,56,admin.,married,,False,True,False
119,48,blue-collar,divorced,basic_4y,True,True,False
120,40,blue-collar,married,high_school,True,True,False
121,49,blue-collar,divorced,high_school,False,False,False
122,41,services,married,high_school,False,False,False
123,45,technician,married,high_school,False,True,False
124,32,admin.,married,university_degree,False,True,True
125,42,admin.,married,university_degree,False,False,True
126,50,admin.,married,basic_6y,False,False,False
