"client_id","age","job","marital","education","credit_default","housing","loan","contact","month","day","duration","campaign","pdays","previous","poutcome","emp_var_rate","cons_price_idx","cons_conf_idx","euribor3m","nr_employed","y"
0,56,"housemaid","married","basic.4y","no","no","no","telephone","may",13,261,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
1,57,"services","married","high.school","unknown","no","no","telephone","may",19,149,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
2,37,"services","married","high.school","no","yes","no","telephone","may",23,226,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
3,40,"admin.","married","basic.6y","no","no","no","telephone","may",27,151,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
4,56,"services","married","high.school","no","no","yes","telephone","may",3,307,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
5,45,"services","married","basic.9y","unknown","no","no","telephone","may",5,198,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
6,59,"admin.","married","professional.course","no","no","no","telephone","may",3,139,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
7,41,"blue-collar","married","unknown","unknown","no","no","telephone","may",12,217,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
8,24,"technician","single","professional.course","no","yes","no","telephone","may",21,380,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
9,25,"services","single","high.school","no","yes","no","telephone","may",5,50,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
10,41,"blue-collar","married","unknown","unknown","no","no","telephone","may",8,55,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
11,25,"services","single","high.school","no","yes","no","telephone","may",9,222,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
12,29,"blue-collar","single","high.school","no","no","yes","telephone","may",29,137,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
13,57,"housemaid","divorced","basic.4y","no","yes","no","telephone","may",14,293,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
14,35,"blue-collar","married","basic.6y","no","yes","no","telephone","may",29,146,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
15,54,"retired","married","basic.9y","unknown","yes","yes","telephone","may",29,174,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
16,35,"blue-collar","married","basic.6y","no","yes","no","telephone","may",1,312,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
17,46,"blue-collar","married","basic.6y","unknown","yes","yes","telephone","may",9,440,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
18,50,"blue-collar","married","basic.9y","no","yes","yes","telephone","may",6,353,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
19,39,"management","single","basic.9y","unknown","no","no","telephone","may",2,195,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
20,30,"unemployed","married","high.school","no","no","no","telephone","may",2,38,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
21,55,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may",16,262,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
22,55,"retired","single","high.school","no","yes","no","telephone","may",20,342,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
23,41,"technician","single","high.school","no","yes","no","telephone","may",10,181,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
24,37,"admin.","married","high.school","no","yes","no","telephone","may",2,172,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
25,35,"technician","married","university.degree","no","no","yes","telephone","may",28,99,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
26,59,"technician","married","unknown","no","yes","no","telephone","may",30,93,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
27,39,"self-employed","married","basic.9y","unknown","no","no","telephone","may",16,233,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
28,54,"technician","single","university.degree","unknown","no","no","telephone","may",1,255,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
29,55,"unknown","married","university.degree","unknown","unknown","unknown","telephone","may",22,362,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,46,"admin.","married","unknown","no","no","no","telephone","may",22,348,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
31,59,"technician","married","unknown","no","yes","no","telephone","may",27,386,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
32,49,"blue-collar","married","unknown","no","no","no","telephone","may",25,73,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
33,54,"management","married","basic.4y","unknown","yes","no","telephone","may",14,230,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,54,"blue-collar","divorced","basic.4y","no","no","no","telephone","may",25,208,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
35,55,"unknown","married","basic.4y","unknown","yes","no","telephone","may",22,336,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
36,34,"services","married","high.school","no","no","no","telephone","may",11,365,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
37,52,"technician","married","basic.9y","no","yes","no","telephone","may",3,1666,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
38,41,"admin.","married","university.degree","no","yes","no","telephone","may",2,577,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
39,56,"technician","married","basic.4y","no","yes","no","telephone","may",20,137,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,58,"management","unknown","university.degree","no","yes","no","telephone","may",5,366,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
41,32,"entrepreneur","married","high.school","no","yes","no","telephone","may",25,314,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
42,38,"admin.","single","professional.course","no","no","no","telephone","may",22,160,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,57,"admin.","married","university.degree","no","no","yes","telephone","may",1,212,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
44,44,"admin.","married","university.degree","unknown","yes","no","telephone","may",17,188,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
45,42,"technician","single","professional.course","unknown","no","no","telephone","may",28,22,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
46,57,"admin.","married","university.degree","no","yes","yes","telephone","may",15,616,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
47,40,"blue-collar","married","basic.9y","no","no","yes","telephone","may",3,178,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
48,35,"admin.","married","university.degree","no","yes","no","telephone","may",26,355,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
49,45,"blue-collar","married","basic.9y","no","yes","no","telephone","may",26,225,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
50,54,"admin.","married","high.school","no","no","no","telephone","may",3,160,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
51,39,"housemaid","married","basic.4y","no","no","yes","telephone","may",9,266,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
52,60,"admin.","married","high.school","no","no","no","telephone","may",11,253,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
53,53,"admin.","single","professional.course","no","no","no","telephone","may",13,179,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
54,55,"blue-collar","married","basic.4y","unknown","no","no","telephone","may",12,269,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
55,55,"technician","married","professional.course","unknown","yes","no","telephone","may",8,135,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
56,50,"management","married","university.degree","unknown","no","yes","telephone","may",17,161,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
57,45,"services","married","high.school","unknown","yes","no","telephone","may",8,787,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
58,55,"unemployed","married","professional.course","unknown","yes","yes","telephone","may",8,145,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,25,"technician","single","university.degree","no","yes","no","telephone","may",18,174,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
60,47,"entrepreneur","married","university.degree","unknown","no","no","telephone","may",3,449,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
61,51,"blue-collar","married","basic.9y","no","yes","no","telephone","may",23,812,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
62,42,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may",27,164,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
63,42,"blue-collar","married","basic.6y","unknown","no","no","telephone","may",29,366,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
64,48,"admin.","married","high.school","no","no","no","telephone","may",19,357,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
65,37,"admin.","married","university.degree","no","no","no","telephone","may",15,232,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
66,44,"blue-collar","single","basic.9y","no","yes","no","telephone","may",16,91,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
67,33,"admin.","married","unknown","no","yes","no","telephone","may",21,273,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
68,56,"admin.","married","basic.9y","no","yes","no","telephone","may",29,158,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
69,44,"blue-collar","single","basic.4y","unknown","yes","yes","telephone","may",4,177,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
70,41,"management","married","basic.6y","no","no","no","telephone","may",28,200,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
71,44,"management","divorced","university.degree","no","yes","no","telephone","may",26,172,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
72,47,"admin.","married","university.degree","unknown","yes","no","telephone","may",18,176,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
73,57,"unknown","married","unknown","unknown","no","no","telephone","may",14,211,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
74,37,"admin.","married","university.degree","unknown","yes","no","telephone","may",26,214,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
75,41,"blue-collar","divorced","basic.4y","unknown","yes","no","telephone","may",20,1575,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes"
76,55,"technician","married","university.degree","no","no","no","telephone","may",16,349,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
77,33,"services","married","high.school","unknown","yes","no","telephone","may",28,337,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
78,55,"management","married","unknown","unknown","yes","no","telephone","may",30,272,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
79,42,"blue-collar","married","basic.9y","unknown","no","no","telephone","may",21,208,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
